backtest,total_trades,average_win,average_loss,average_annual_return,drawdown,expectancy,net_profit,sharpe_ratio,loss_rate,win_rate,profit_loss_ratio,trade_frequency,total_trades_2,average_win_2,average_loss_2,annual_return,net_profit_2,sharpe_ratio_2,loss_rate_2,win_rate_2,profit_loss_ratio_2,trade_frequency_2,compounding_annual_return,alpha,beta,annual_standard_deviation,annual_variance,information_ratio,tracking_error,treynor_ratio,total_fees,probabilistic_sharpe_ratio,estimated_strategy_capacity,lowest_capacity_asset,sortino_ratio,portfolio_turnover,total_orders,start_equity,end_equity
embedded_backtest_15ef69e3fab02f7692c5ce25fa27d80e.html,,,,,2.3,0.999,,,,,,,26,1.06,-0.32,,8.614,0.703,54,46,3.33,,1.313,0.013,0.004,0.019,0,-0.326,0.238,3.509,,,,,,,,,
embedded_backtest_f4184d8cc6aa46419cf8748faff7382f.html,,,,,10.8,0,,,,,,,1,82.56,0,,82.563,1.514,0,100,0,,36.286,0.352,-0.1,0.22,0.048,0.563,0.25,-3.341,,,,,,,,,
embedded_backtest_2f2359bfc9aec49be9b4f6a25c22f542.html,,,,,18.4,0.148,,,,,,,49,0.56,-3.24,,26.346,1.371,2,98,0.17,,28.101,0.268,-0.074,0.188,0.035,0.569,0.22,-3.508,,,,,,,,,
embedded_backtest_80b70124417b72151657494afc16678a.html,,,,,87.2,-1,,,,,,,1,0,-20.68,,-20.681,0.486,100,0,0,,-1.532,0.645,-2.221,1.042,1.086,0.388,1.146,-0.228,,,,,,,,,
embedded_backtest_1e226512bd8b860e0a9b2586ac52088d.html,,,,,31.8,1.292,,,,,,,17,14.23,-6.33,,235.402,0.977,29,71,2.25,,22.567,0.076,0.89,0.235,0.055,0.331,0.173,0.258,,,,,,,,,
embedded_backtest_2d20534ad43d657d5d8b75072ef8c854.html,,,,,16.3,12.047,,,,,,,8,25.41,-1.83,,366.278,1.209,12,88,13.91,,29.549,0.128,0.91,0.235,0.055,0.661,0.17,0.313,,,,,,,,,
embedded_backtest_0c301e3dbcacb9f4faca772faf745e45.html,,,,,17.1,1.431,,,,,,,33,15.76,-5.23,,665.057,0.898,39,61,3.01,,29.169,0.324,-0.081,0.352,0.124,0.531,0.425,-3.9,,,,,,,,,
embedded_backtest_78189cf05b7761b1f1a37882dc498ed8.html,,,,,14.8,301.919,,,,,,,19,53.77,-0.03,,160.104,1.535,84,16,1917.55,,63.501,0.256,1.394,0.35,0.123,1.052,0.319,0.385,,,,,,,,,
embedded_backtest_6f72c4994389cca34d330199b721fd81.html,,,,,7.7,0,,,,,,,1,40.61,0,,40.609,1.593,0,100,0,,18.551,-0.027,0.974,0.11,0.012,-1.595,0.021,0.181,,,,,,,,,
embedded_backtest_2490077f92e9ba105dda76e03514fe6f.html,,,,,12.1,0,,,,,,,1,60.38,0,,60.377,1.257,0,100,0,,27.5,0.113,0.706,0.203,0.041,0.28,0.191,0.361,,,,,,,,,
embedded_backtest_f94a6bd26c696a98274e8d33adbc8370.html,,,,,18.8,0,,,,,,,1,115.06,0,,115.057,0.824,0,100,0,,13.612,-0.025,0.953,0.173,0.03,-1.844,0.018,0.15,,,,,,,,,
embedded_backtest_806e11eb113588122d986ccbdcf207af.html,,,,,34.5,2.233,,,,,,,7,52.1,-18.8,,631.289,0.715,14,86,2.77,,9.913,0.106,-0.012,0.148,0.022,0.166,0.238,-8.759,,,,,,,,,
embedded_backtest_0034ffcbc1bbe9e25f9b6eb1c5820baa.html,,,,,0,0,,,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
embedded_backtest_920feff981391177063cc9f4a13c99bf.html,,,,,18.6,0.06,,,,,,,454,0.7,-0.69,,17.989,0.938,48,52,1.02,,19.772,-0.066,1.95,0.217,0.047,0.566,0.115,0.104,,,,,,,,,
embedded_backtest_0111e4c14b3cc7dfdf6f0fcc79709698.html,,,,,5.6,0,,,,,,,0,0,0,,0,1.344,0,0,0,,15.654,0.099,0.031,0.077,0.006,-0.277,0.117,3.369,,,,,,,,,
embedded_backtest_dde73989b3d3d1a34a66d522d65ba52f.html,,,,,9.2,0,,,,,,,1,41.74,0,,41.742,1.645,0,100,0,,19.065,-0.018,0.95,0.11,0.012,-1.01,0.029,0.19,,,,,,,,,
embedded_backtest_ba41ba7ee074b6bfba5e8f7cd5a94676.html,,,,,9.2,0,,,,,,,1,41.74,0,,41.742,1.645,0,100,0,,19.065,-0.018,0.95,0.11,0.012,-1.01,0.029,0.19,,,,,,,,,
embedded_backtest_262416a3a1f7ff9c58171a5b1869e468.html,,,,,23.8,2.682,,,,,,,28,22.93,-4.85,,1739.372,0.891,36,64,4.73,,18.771,0.196,-0.033,0.217,0.047,0.37,0.302,-5.888,,,,,,,,,
embedded_backtest_339d4874e5d907fff59cc0d5d65ef5d3.html,,,,,14.9,0,,,,,,,1,67.21,0,,67.21,1.503,0,100,0,,29.325,-0.031,1.453,0.182,0.033,0.665,0.097,0.188,,,,,,,,,
embedded_backtest_f56851b1ca6e16daa001bbc9a12b91aa.html,,,,,9.3,0,,,,,,,1,43.34,0,,43.339,1.632,0,100,0,,19.805,0.003,0.988,0.109,0.012,0.051,0.018,0.18,,,,,,,,,
embedded_backtest_d89f40646a9bf74e0f3b0c612ee8a8ac.html,,,,,61,0.365,,,,,,,54,11.64,-4.64,,65.781,0.416,61,39,2.51,,7.358,0.114,-0.147,0.24,0.058,0.012,0.354,-0.679,,,,,,,,,
embedded_backtest_0ff2f8f16441bc4495b021133564e7f5.html,,,,,2.1,1.985,,,,,,,2,0.16,-0.03,,0.127,0.051,50,50,4.97,,0.11,0.035,-0.234,0.031,0.001,-0.97,0.144,-0.007,,,,,,,,,
embedded_backtest_8e3d1c3d4da0e77de09b5e8178c6d218.html,,,,,18,0,,,,,,,1,65.08,0,,65.081,1.141,0,100,0,,26.757,0.069,0.956,0.227,0.052,0.304,0.2,0.271,,,,,,,,,
embedded_backtest_3e427e8429187a2b406ffdd862192fd6.html,,,,,29.4,0,,,,,,,1,65.59,0,,65.586,1.05,0,100,0,,26.94,0.128,0.698,0.253,0.064,0.281,0.243,0.381,,,,,,,,,
