index,aadr,acp,cqqq,cweb,dpst,dxd,eex,eslt,hyi,icfi,iiiv,ilcv,immp,krp,mcrb,mpwr,newtl,ostk,snbr,su,tenx,tmv,uga,umc,vnla,www,xtl
2020-01-09T18:00:00Z,52.16542803,6.65887640343046,56.1860747,327.024607938,939.09337077,106.6033058591,10.470334123,152.30939919,11.267594481,91.570676379,30.27,111.479135248,1.9098,11.948315908,3.16,173.428419683,20.989617348,8.14,46.04,28.58014995,27.1,27.63404748,31.3735,2.14176154,44.802332731,31.025467551,67.91122644666
2020-01-09T19:00:00Z,52.16542803,6.66465166483846,56.205963576,327.38077923,947.36615895,106.39772052,10.495133588,152.6143245423,11.285820936,91.424132034,30.13,111.479135248,1.91,12.01516632538,3.13,174.002074264,21.01345113,8.16,46.355,28.609596675,27.4,27.60984954,31.65,2.13361796,44.793320897,31.081052145,67.91122644666
2020-01-09T20:00:00Z,52.2318100329,6.67042692624647,56.23579689,326.58928747,945.788864256,106.39772052,10.405855514,152.21360109,11.3004021,90.906342015,30.02,111.682058978,1.89,11.873126277,3.11,173.768723248,21.01345113,8.12,46.13,28.6558701,27.4,27.53725572,31.65,2.13361796,44.806838648,31.062523947,67.920752094
2020-01-10T14:00:00Z,52.417090845,6.69023607287593,56.723074352,329.55738157,934.8815982,106.2028529,10.356256584,152.05074432,11.33685501,90.75979767,30.05,111.698770344,1.925,10.711104707,3.0278,173.992351305,21.01345113,8.25,45.56,28.559116575,28.2,27.21058353,31.78,2.14990512,44.80016989084,31.099580343,67.920752094
2020-01-10T15:00:00Z,52.4171858121,6.69156438299977,56.8145631816,329.4584451,932.9971362,106.30028671,10.455454444,151.7251265781,11.322273846,90.808645785,29.92,111.77535614704,1.9903,10.79996518,3.0462,173.65204774,20.898254517,8.2,46.205,28.853583825,27.6,27.06539589,31.78,2.14583333,44.80692876634,30.988411155,67.920752094
2020-01-10T16:00:00Z,52.4444413698,6.68775271047049,56.663407724,328.4344526355,928.097535,106.93993967265,10.405855514,152.30939919,11.3291998989,90.671871063,30.07,111.545980712,2.0691,10.8375599955,3.035,172.563076332,20.898254517,8,46.715,28.8073104,27.6,26.92020825,31.78,2.14176154,44.80692876634,30.691959987,67.920752094
2020-01-10T17:00:00Z,52.3276318368,6.68197744906248,56.613685534,326.19354159,925.033399788,106.81327571965,10.4157753,151.75377021,11.31979504812,90.701179932,30.04,111.55581654456,2.1101,10.79996518,2.98,172.183880931,20.898254517,8.08,46.735,28.89985725,27.5,26.90810928,31.78,2.14990512,44.811344565,30.710488185,67.6330583006
2020-01-10T18:00:00Z,52.43133591,6.68775271047049,56.7419687842,328.66695334,927.477547002,106.69002195,10.4157753,152.2945504845,11.322273846,91.111504098,29.95,111.698770344,2.029,10.7418641015,3.0081,172.699197758,20.898254517,8.2,47,29.00081745,27.796,26.8998819804,31.78,2.1570714704,44.820356399,30.84944967,67.6330583006
2020-01-10T19:00:00Z,52.43133591,6.68775271047049,56.673352162,328.37014393,928.097535,107.0963209377,10.485213802,152.0161612059,11.32220094018,91.082195229,30.12,111.43148398152,2.1,10.779458917,2.96,172.48529266,21.01345113,8.2,46.89,28.9250973,27.636,26.88391134,31.78,2.15397691,44.815850482,30.821657373,67.632096114
2020-01-10T20:00:00Z,52.369607295,6.66465166483846,56.723074352,328.96376275,916.9792092,107.323341715,10.4157753,151.69629135,11.322273846,91.082195229,30.09,111.242788786,2.05,10.765788075,2.87,171.969975833,20.830725468,8.14,46.66,28.8409638,27.8,26.88391134,31.73,2.14990512,44.78881498,30.775336878,67.57667416584
2020-01-13T14:00:00Z,51.987839553,6.72240427891852,58.03265739222,343.6429668039,912.4565004,106.933606475,10.470334123,153.0478109448,11.329564428,91.629294117,30.39,111.335894968,2.07,10.90940027021,2.92,174.118749772,20.830725468,8.17,46.66,28.5212565,26.4,27.3436722,31.6664,2.14990512,44.80107107424,30.654903591,67.6181444083
2020-01-13T15:00:00Z,52.231905,6.73701569028077,58.22468449,344.1683194596,916.3196475,107.031040285,10.505053374,154.1960469714,11.34975934014,91.63906374,30.5,111.39357305408,2.0408,10.881990232,2.99,174.313208952,20.830725468,8.09,46.95,28.64745675,25.57,27.29527632,31.43,2.154384089,44.797826814,30.775336878,67.94153532456
2020-01-13T16:00:00Z,52.05146751,6.74261769384654,58.503128754,347.8418305907,920.0885715,106.8644284699,10.544732518,154.57023435,11.344145592,91.433901657,30.23,111.474360572,2.11,10.86831939,2.915,174.196533444,20.830725468,8.03,47.02,28.46236305,25.576,27.2785797414,31.39,2.14990512,44.806838648,30.951354759,67.94153532456
2020-01-13T17:00:00Z,52.05146751,6.73973006314254,58.57273982,348.75105675,924.5170572,106.89512012005,10.574491876,155.0013258,11.344145592,91.961461299,30.42,111.47216422104,2.11,10.8512308375,2.91,174.128472731,20.830725468,8,46.95,28.4539497,25.4,27.1016928,31.6054,2.14990512,44.80692876634,31.118108541,68.19141518458
2020-01-13T18:00:00Z,51.98499054,6.73973006314254,58.582684258,348.35531087,926.022742338,107.07975719,10.604251234,154.7921027496,11.33685501,91.93215243,30.59,111.44093784,2.11,10.8375599955,2.92,174.439607419,21.037284912,8.0927,47.01,28.47918975,25.148,27.15008868,31.6326,2.15397691,44.811344565,31.182957234,68.329681399
2020-01-13T19:00:00Z,52.3725512751,6.73973006314254,58.6015786902,348.2563744,928.231331802,106.933606475,10.66376995,154.77141036,11.344145592,92.19651842838,30.62,111.4953691464,2.13,10.813636022,2.91,174.468776296,21.037284912,8.05,47.2,28.5212565,25.8,27.21058353,31.6326,2.14990512,44.811344565,31.247805927,68.329681399
2020-01-13T20:00:00Z,52.33636881,6.74550532455054,58.602573134,347.66275558,930.924228,106.78745576,10.634010592,155.07796428,11.366017338,92.12754489,30.69,111.6448165052,2.08,10.813636022,2.99,174.342377829,21.01329223812,8,47.18,28.6222167,25.6,27.1016928,31.72,2.1580487,44.815850482,31.266334125,68.4956585875
2020-01-14T14:00:00Z,52.21291158,6.75341743267951,57.42912945,332.72334861,927.5321964,106.88488957,10.554652304,153.0080547333,11.37330792,92.606256417,30.39,111.555530064,2.1299,10.820471443,2.98,173.117284995,20.9404676,8.3712,47.54,28.735796925,25.45,26.84761443,32.029,2.18247944,44.815850482,31.201485432,68.1776559162
2020-01-14T15:00:00Z,52.2957228912,6.76860637018256,57.488796078,335.3946333,934.48586118,106.49515433,10.643930378,153.3824337081,11.38672259088,92.02984866,30.67,111.641474232,2.11,10.765788075,3.04,174.361823747,20.91614444148,8.2,47.845,28.69793685,25.8,26.81131752,32.029,2.17840765,44.8099927899,31.1875892835,68.1776559162
2020-01-14T16:00:00Z,52.3596357495,6.76571873947856,57.687684838,337.07655329,945.530692962,105.89447489135,10.594331448,152.7225763953,11.3820566184,91.4876345835,30.835,111.8620642632,2.11,10.74234258097,3.09,175.178552303,20.91179526744,8.75,47.79,28.8409638,26.4,26.81131752,32.029,2.178814829,44.80197225764,31.377503313,68.372979796
2020-01-14T17:00:00Z,52.3596357495,6.75994347807056,57.767240342,338.16485446,946.099800486,105.80093843375,10.66376995,152.5309801953,11.380598502,91.121273721,30.94,111.99690111344,2.11,10.73161097,3.072,175.538301786,20.85992734,8.97,47.85,28.904063925,26.12,26.83551546,31.8599,2.18247944,44.80674852966,31.4979366,68.67501016974
2020-01-14T18:00:00Z,52.31737539,6.75682483691023,57.568351582,336.383998,945.543884196,106.30028671,10.584411662,153.16200228,11.3827856766,90.798876162,30.7771,111.8950095276,2.1,10.738446391,3.11,174.692404353,20.85992734,8.71,47.76,28.9250973,25.6,26.7387237,31.8599,2.17840765,44.81197539338,31.40529561,68.786720034
2020-01-14T19:00:00Z,52.18442145,6.75699809475247,57.439073888,336.08718859,942.58904778,106.349003615,10.544732518,153.02788494,11.37330792,91.326435804,30.69,111.8950095276,2.11,10.75820075769,3.11,174.62434364,20.81965721,8.82,47.38,28.96716405,25.4,26.76292164,31.8599,2.17840765,44.797826814,31.3080225705,68.661635776
2020-01-14T20:00:00Z,52.44083262,6.76283110877456,57.419185012,337.3733627,938.166215466,106.641305045,10.495133588,152.4147771,11.395179666,90.740258424,30.8,111.75759435232,2.09,10.704269286,3.09,173.972905387,20.90019747,8.81,47.39,29.0092308,25.2,26.71452576,31.68,2.18247944,44.80296355938,31.340446917,68.65037819278
2020-01-15T14:00:00Z,52.45032933,6.79072562137523,57.657851524,339.5450182165,912.8333928,105.71568385,10.574491876,150.92032674,11.4214257612,91.44279201393,31.21,111.55810838904,2.12,10.629079655,3.1,173.185345708,20.90019747,9.07,47.73,28.98399075,25.6,26.4582695754,31.599,2.16619228,44.815850482,31.442352006,68.546173384
2020-01-15T15:00:00Z,52.45032933,6.81065027323284,57.81706197638,340.9904800432,916.138739148,105.32594861,10.624090806,151.4664717081,11.424341994,91.472980149,31.1833,111.77516516,2.12,10.629079655,3.0873,173.963182428,20.88755264918,8.93,47.425,28.9082706,25.6,26.3839818996,31.18,2.16619228,44.80692876634,31.40529561,68.92084884604
2020-01-15T16:00:00Z,52.4077840692,6.80706961115988,57.717518152,340.04464739,918.675225,105.52081623,10.653850164,151.50469515,11.424341994,91.34597505,31.23,111.7336254788,2.1297,10.6598390495,3.12,173.107562036,20.93209141296,8.83,47.32,28.93351065,25.4,26.373334806,31.18,2.16619228,44.81305681346,31.229277729,68.92084884604
