predictor,rn,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
adx_dip_66_bbands_pctB_10,Annualized Sharpe (Rf=0%),0.3933,0.4914,0.2837,0.2856,0.1979,0.6263,0.4011,0.4136,0.1731,0.2856,0.4865,0.456,0.4153,0.4324,0.1583,0.7318,0.56,0.5771,0.4433,0.2668,0.8064,0.4225,0.6256,0.588,0.2017
adx_dip_66_bbands_dn_66,Annualized Return,0.2803,0.1323,0.1687,0.072,0.2557,0.1546,0.0867,0.0663,0.0796,0.1454,0.1101,0.1109,0.1183,0.0666,0.1745,0.0897,0.1055,0.1009,0.1007,0.1666,0.0366,0.073,0.0994,0.1248,0.127
adx_dip_66_bbands_dn_66,Annualized Std Dev,0.6398,0.2558,0.2987,0.3286,1.9896,0.3458,0.1936,0.2216,0.2747,0.4276,0.2031,0.1834,0.2114,0.2479,0.7223,0.1894,0.1644,0.1849,0.2026,0.4247,0.2143,0.1517,0.1572,0.1764,0.2551
adx_dip_66_bbands_dn_66,Annualized Sharpe (Rf=0%),0.4381,0.5172,0.5649,0.2192,0.1285,0.4471,0.4479,0.299,0.2898,0.34,0.5421,0.6049,0.5593,0.2686,0.2416,0.4736,0.6415,0.5455,0.4971,0.3924,0.1706,0.4813,0.6322,0.7074,0.4979
adx_dip_66_keltnerchannels_dn_5,Annualized Return,0.1116,0.1099,0.109,0.1354,0.3915,0.1077,0.1184,0.0888,0.08,0.1506,0.0998,0.1103,0.1557,0.0928,0.0916,0.1099,0.1093,0.1129,0.0918,0.152,0.0903,0.1256,0.1187,0.1289,0.0641
adx_dip_66_keltnerchannels_dn_5,Annualized Std Dev,0.1579,0.1913,0.225,0.3027,1.1383,0.1486,0.1796,0.2265,0.2862,0.5221,0.1424,0.1748,0.4444,0.277,0.4064,0.1301,0.1685,0.1997,0.245,0.5826,0.1056,0.1531,0.1749,0.2302,0.3459
adx_dip_66_keltnerchannels_dn_5,Annualized Sharpe (Rf=0%),0.7071,0.5746,0.4845,0.4474,0.3439,0.7246,0.6594,0.3919,0.2795,0.2885,0.7004,0.6307,0.3503,0.3348,0.2255,0.8449,0.6485,0.5654,0.3746,0.2609,0.8552,0.8199,0.679,0.5598,0.1852
adx_dip_66_rsi_22,Annualized Return,0.3411,0.1225,0.0874,0.0585,0.0104,0.1793,0.104,0.0969,0.0509,0.065,0.2782,0.0911,0.1051,0.0792,0.0612,0.0709,0.2233,0.1391,0.1085,0.0664,0.1744,0.1575,0.1017,0.1128,0.09
adx_dip_66_rsi_22,Annualized Std Dev,0.7803,0.263,0.2751,0.2556,0.2972,0.3818,0.2551,0.2158,0.2003,0.2114,0.7288,0.2408,0.2282,0.2031,0.19,0.3681,0.6325,0.2177,0.1979,0.178,0.4263,0.2821,0.2169,0.2018,0.1753
adx_dip_66_rsi_22,Annualized Sharpe (Rf=0%),0.4371,0.4659,0.3176,0.2287,0.0349,0.4696,0.4077,0.4488,0.2542,0.3076,0.3818,0.3782,0.4607,0.3897,0.322,0.1927,0.3531,0.6389,0.5485,0.3731,0.4092,0.5583,0.4689,0.5589,0.5131
