predictor,rn,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
rsi_22_dochian_low_10,Annualized Std Dev,0.2508,0.4805,0.2898,1.9633,1.5619,0.1848,0.2057,0.2695,0.3141,0.5167,0.17,0.1849,0.2068,0.246,0.3603,0.1386,0.163,0.1792,0.2226,0.3068,0.1036,0.1409,0.1487,0.1705,0.2403
rsi_22_dochian_low_10,Annualized Sharpe (Rf=0%),0.7996,0.4404,0.3533,0.1607,0.3432,0.7925,0.677,0.4558,0.2708,0.1804,0.9043,0.5812,0.6248,0.2943,0.1922,0.7352,0.6996,0.6187,0.3771,0.1085,0.4524,0.6867,0.4167,0.4077,0.2859
rsi_22_rsi_264,Annualized Return,0.451,0.1356,0.1254,0.1268,0.1968,0.1416,0.1491,0.1154,0.1146,0.125,0.1157,0.0683,0.096,0.1284,0.1277,0.0257,0.0064,0.0722,0.102,0.1429,-0.122,-0.0134,0.0334,0.0867,0.1213
rsi_22_rsi_264,Annualized Std Dev,0.8783,0.2874,0.2342,0.1947,0.2275,0.362,0.3738,0.2141,0.1877,0.1878,0.3842,0.2528,0.211,0.1808,0.1734,0.3758,0.2527,0.2097,0.1797,0.1679,0.3876,0.2736,0.2065,0.1847,0.145
rsi_22_rsi_264,Annualized Sharpe (Rf=0%),0.5135,0.4718,0.5355,0.6511,0.8652,0.3912,0.399,0.5392,0.6103,0.6658,0.3011,0.2701,0.4551,0.7102,0.7364,0.0683,0.0253,0.3442,0.5676,0.851,-0.3149,-0.0491,0.1618,0.4697,0.8362
close_ath_dochian_low_5,Annualized Return,0.2943,0.1543,0.21,0.1512,0.3473,0.1562,0.1144,0.072,0.0544,0.0239,0.1232,0.122,0.0857,0.0768,0.0221,0.1597,0.1353,0.101,0.0961,0.0887,0.1169,0.1172,0.1085,0.1004,0.1021
close_ath_dochian_low_5,Annualized Std Dev,0.3944,0.3283,0.7177,0.4259,1.1983,0.2532,0.2716,0.2758,0.2975,0.3092,0.1963,0.2123,0.2179,0.236,0.2572,0.1588,0.1663,0.1823,0.1883,0.2273,0.1032,0.1298,0.1378,0.1567,0.1934
close_ath_dochian_low_5,Annualized Sharpe (Rf=0%),0.7463,0.4698,0.2926,0.3551,0.2898,0.6171,0.4212,0.2611,0.1829,0.0771,0.6276,0.5749,0.3933,0.3256,0.0859,1.0056,0.8134,0.5544,0.5102,0.3901,1.133,0.9031,0.7873,0.6411,0.5283
close_ath_dochian_low_10,Annualized Return,0.2302,0.2934,0.1616,0.2734,0.2421,0.1497,0.09,0.088,0.0524,0.0272,0.1227,0.1019,0.0871,0.081,0.0313,0.159,0.1376,0.1092,0.0872,0.1024,0.1158,0.1071,0.1114,0.1029,0.1311
close_ath_dochian_low_10,Annualized Std Dev,0.3504,0.9213,0.3367,1.705,0.5905,0.263,0.2582,0.3004,0.284,0.3084,0.1996,0.2083,0.214,0.2383,0.268,0.1553,0.1676,0.177,0.1905,0.233,0.1013,0.1299,0.1408,0.1535,0.1978
close_ath_dochian_low_10,Annualized Sharpe (Rf=0%),0.6568,0.3184,0.4801,0.1604,0.41,0.569,0.3485,0.293,0.1846,0.0883,0.6144,0.4894,0.4072,0.3401,0.1168,1.0238,0.8211,0.6169,0.4578,0.4395,1.1433,0.8244,0.7915,0.6703,0.6626
close_ath_rsi_264,Annualized Return,0.489,0.0845,0.0747,0.1664,0.1013,0.0194,0.0982,0.0774,0.0896,0.1693,0.0659,0.0844,0.0808,0.0853,0.1261,0.124,0.1068,0.1142,0.1149,0.1535,0.0088,0.0458,0.1167,0.1132,0.1159
close_ath_rsi_264,Annualized Std Dev,0.8583,0.4288,0.3049,0.3085,0.2594,0.3225,0.295,0.2562,0.2344,0.292,0.2473,0.2322,0.2236,0.2132,0.2359,0.2111,0.1784,0.1773,0.1766,0.1905,0.0723,0.1195,0.1399,0.1361,0.1299
close_ath_rsi_264,Annualized Sharpe (Rf=0%),0.5697,0.197,0.245,0.5394,0.3907,0.0602,0.3329,0.3022,0.3824,0.5796,0.2665,0.3633,0.3612,0.3998,0.5345,0.5872,0.599,0.6437,0.6508,0.8056,0.121,0.3834,0.8339,0.832,0.8926
dochian_low_5_dochian_low_10,Annualized Return,0.165,0.1398,0.1488,0.0745,0.1881,0.1232,0.1242,0.0924,0.1585,0.1101,0.0085,0.1523,0.0988,0.0731,0.2157,0.001,0.0617,0.1044,0.0841,0.0808,0,0.0128,0.0076,0.2038,0.1529
dochian_low_5_dochian_low_10,Annualized Std Dev,0.1699,0.1721,0.231,0.3666,1.0463,0.186,0.1766,0.2031,0.2238,0.4628,0.1434,0.3388,0.1946,0.2159,0.353,0.032,0.298,0.2321,0.2335,0.3,0,0.0547,0.1237,1.0723,0.3997
dochian_low_5_dochian_low_10,Annualized Sharpe (Rf=0%),0.9715,0.8123,0.6442,0.2031,0.1798,0.6623,0.7035,0.4551,0.7079,0.238,0.0595,0.4495,0.508,0.3384,0.611,0.0325,0.207,0.4498,0.3601,0.2694,,0.2348,0.0615,0.19,0.3826
dochian_low_5_rsi_264,Annualized Return,0.276,0.173,0.158,0.1322,0.1238,0.1075,0.098,0.1318,0.1226,0.1494,0.1832,0.0789,0.0742,0.1105,0.1067,0.1196,0.0632,0.0696,0.0805,0.1085,0.3326,0.0385,0.0145,0.0816,0.1477
dochian_low_5_rsi_264,Annualized Std Dev,0.3594,0.2325,0.1828,0.1519,0.1102,0.3101,0.2307,0.1906,0.1592,0.1542,0.5666,0.252,0.2174,0.1809,0.1539,0.4165,0.2978,0.2289,0.1976,0.1751,1.187,0.4245,0.2618,0.2556,0.2485
dochian_low_5_rsi_264,Annualized Sharpe (Rf=0%),0.768,0.7442,0.8643,0.8699,1.1226,0.3467,0.4248,0.6913,0.7701,0.969,0.3233,0.3131,0.3413,0.6106,0.693,0.2872,0.2124,0.3039,0.4072,0.6197,0.2802,0.0908,0.0553,0.3191,0.5942
dochian_low_10_rsi_264,Annualized Return,0.2157,0.1703,0.1497,0.1371,0.1108,0.2033,0.1056,0.1175,0.1283,0.1287,0.1077,0.0966,0.0859,0.1195,0.1195,0.2699,0.0329,0.0798,0.0526,0.1196,0.2285,0.0496,0.0116,0.098,0.1467
dochian_low_10_rsi_264,Annualized Std Dev,0.3161,0.2347,0.1866,0.1483,0.1074,0.6286,0.2277,0.1906,0.166,0.1418,0.32,0.2825,0.2121,0.1736,0.1522,1.6281,0.2844,0.2306,0.2023,0.1724,0.6525,0.4378,0.2692,0.2607,0.2653
dochian_low_10_rsi_264,Annualized Sharpe (Rf=0%),0.6824,0.7253,0.8023,0.9244,1.0321,0.3234,0.4637,0.6165,0.773,0.9076,0.3366,0.3419,0.4052,0.6884,0.7854,0.1658,0.1158,0.3458,0.26,0.6937,0.3501,0.1133,0.0433,0.376,0.5527
